n,replication,seed,experiment,theta1_hat,theta2_hat,theta1_error,theta2_error,sqrt_n_theta1_error,sqrt_n_theta2_error,oracle_se1,oracle_se2,T1,T2,coverage1,coverage2,empirical_check_loss,Cn1,Cn2,lhs1,lhs2,minus_Sn1,minus_Sn2,IF_gap1,IF_gap2,IF_gap_norm,sandwich
1000,1,1020264930,experiment0_exact_m0,0.8421658060368575,-0.9839233306128196,-0.15783419396314247,0.016076669387180442,-4.991155455803283,0.5083889245299358,0.0960618043436349,0.05794539594193203,-1.64304840036664,0.27744515549244186,1.0,1.0,0.5520889570494464,0.0,0.0,-0.7444169905705829,-0.8276976868889105,-0.7747580267412529,-0.7685497790532744,0.030341036170670077,-0.05914790783563617,0.06647596164962806,linear_QR_raw_X
1000,2,1020265939,experiment0_exact_m0,0.965330129728451,-0.9551906329971064,-0.034669870271549,0.04480936700289362,-1.0963575624065522,1.4169966023953662,0.09570158682313831,0.060238048635016896,-0.3622705894691254,0.7438714901671889,1.0,1.0,0.5606606229693349,0.0,0.0,0.13587153118398926,0.436379275527536,0.15811388300841897,0.3974695939080364,-0.022242351824429712,0.03890968161949965,0.04481836162124336,linear_QR_raw_X
1000,3,1020266948,experiment0_exact_m0,0.8618980384205788,-0.9255541115619638,-0.13810196157942123,0.07444588843803623,-4.367167479280356,2.354185698989894,0.09411003652691496,0.057063180928396545,-1.4674520027406939,1.3046221263313675,1.0,1.0,0.5259492375778997,0.0,0.0,-0.25731542133213064,0.16963044084136977,-0.17392527130926086,0.09862152239490336,-0.08339015002286979,0.07100891844646641,0.10952709080302302,linear_QR_raw_X
1000,4,1020267957,experiment0_exact_m0,0.9263514157773742,-0.95422690856221,-0.07364858422262577,0.04577309143778996,-2.3289727259023882,1.4474722449056772,0.09480225636782119,0.05818912609372479,-0.7768653093748976,0.786626205110274,1.0,1.0,0.5253858713155402,0.0,0.0,-0.09571195374465506,0.17134433906063407,-0.15811388300841897,0.07287310502306178,0.06240192926376391,0.09847123403757228,0.1165786631795121,linear_QR_raw_X
1000,5,1020268966,experiment0_exact_m0,1.0136632623310318,-1.0066032292923568,0.013663262331031767,-0.006603229292356794,0.4320702923444189,-0.20881244476189345,0.09331724067307837,0.05738040920038942,0.14641734188110817,-0.11507811436646186,1.0,1.0,0.5502468762163998,0.0,0.0,0.032023073629174996,-0.003705509492726228,0.03162277660168379,-0.01648400280198085,0.0004002970274912046,0.012778493309254624,0.012784761592023665,linear_QR_raw_X
1000,6,1020269975,experiment0_exact_m0,1.06343142920319,-1.0826478888479567,0.06343142920318989,-0.08264788884795671,2.0058779152179955,-2.613555725639728,0.093871455220223,0.058301769129248754,0.6757264927275217,-1.4175880094604887,1.0,1.0,0.5568657271027885,0.0,0.0,-0.23588278159389875,-0.8158401040223272,-0.18973665961010278,-0.7264228134879717,-0.046146121983795974,-0.08941729053435554,0.100622643677498,linear_QR_raw_X
1000,7,1020270984,experiment0_exact_m0,0.9767710719905942,-1.0812844372065018,-0.02322892800940579,-0.0812844372065018,-0.7345632011380347,-2.570439598974801,0.0934859885806046,0.05613456979355869,-0.24847496787582843,-1.4480281492391343,1.0,1.0,0.5445761637623062,0.0,0.0,-0.7132798793369015,-1.4500009447269027,-0.6324555320336759,-1.1960292977373235,-0.08082434730322563,-0.2539716469895792,0.2665223679010673,linear_QR_raw_X
1000,8,1020271993,experiment0_exact_m0,1.0795830429032258,-1.0312679971598873,0.07958304290322582,-0.03126799715988726,2.5166367870109267,-0.9887808889691981,0.08998397801305713,0.054306360502782015,0.8844134773823615,-0.5757704414436954,1.0,1.0,0.5626906786328306,0.0,0.0,0.23712128451091066,0.05844384185815955,0.18973665961010278,-0.1081058649979065,0.04738462490080789,0.16654970685606604,0.17315919707261232,linear_QR_raw_X
1000,9,1020273002,experiment0_exact_m0,0.8835141823633418,-0.8960410679042223,-0.11648581763665822,0.10395893209577767,-3.6836049883885207,3.2874700854143923,0.09186149410775855,0.057038950403338035,-1.2680592534235726,1.8225954608325643,1.0,1.0,0.5506835053099207,0.0,0.0,0.07276910318624862,0.7770795936903625,0.17392527130926086,1.1808073197491271,-0.10115616812301224,-0.4037277260587646,0.41620745685044136,linear_QR_raw_X
1000,10,1020274011,experiment0_exact_m0,0.911763148084528,-0.970380252838415,-0.08823685191547204,0.029619747161584997,-2.790294256158827,0.93665864748916,0.09373962745382722,0.05638259552824301,-0.941297232687791,0.525334935082014,1.0,1.0,0.5617009932731087,0.0,0.0,-0.2959253613155622,-0.1744410448220686,-0.25298221281347033,-0.12635318611302876,-0.042943148502091855,-0.04808785870903984,0.064471359210841,linear_QR_raw_X
